power,	 Rx_OK,	 send_total,  RX_OK_Percent
-71	 1000	 1000	 100.0%
-72	 1000	 1000	 100.0%
-73	 1000	 1000	 100.0%
-74	 998	 1000	 99.8%
-75	 998	 1000	 99.8%
-76	 1000	 1000	 100.0%
-77	 1000	 1000	 100.0%
-78	 1000	 1000	 100.0%
-79	 1000	 1000	 100.0%
-80	 999	 1000	 99.9%
-81	 999	 1000	 99.9%
-82	 999	 1000	 99.9%
-83	 1000	 1000	 100.0%
-84	 1000	 1000	 100.0%
-85	 1000	 1000	 100.0%
-86	 1000	 1000	 100.0%
-87	 1000	 1000	 100.0%
-88	 1000	 1000	 100.0%
-89	 1000	 1000	 100.0%
-90	 996	 1000	 99.6%
-91	 959	 1000	 95.9%
-92	 644	 1000	 64.4%
