power,	 Rx_OK,	 send_total,  RX_OK_Percent
-82	 1000	 1000	 100.0%
-83	 1000	 1000	 100.0%
-84	 1000	 1000	 100.0%
-85	 1000	 1000	 100.0%
-86	 1000	 1000	 100.0%
-87	 1000	 1000	 100.0%
-88	 1000	 1000	 100.0%
-89	 1000	 1000	 100.0%
-90	 1000	 1000	 100.0%
-91	 1000	 1000	 100.0%
-92	 1000	 1000	 100.0%
-93	 1000	 1000	 100.0%
-94	 1000	 1000	 100.0%
-95	 1000	 1000	 100.0%
-96	 1000	 1000	 100.0%
-97	 1000	 1000	 100.0%
-98	 1000	 1000	 100.0%
-99	 1000	 1000	 100.0%
-100	 1000	 1000	 100.0%
-101	 998	 1000	 99.8%
-102	 988	 1000	 98.8%
-103	 924	 1000	 92.4%
-104	 599	 1000	 59.9%
