power,	 Rx_OK,	 send_total,  RX_OK_Percent
-60	 1000	 1000	 100.0%
-61	 1000	 1000	 100.0%
-62	 1000	 1000	 100.0%
-63	 1000	 1000	 100.0%
-64	 1000	 1000	 100.0%
-65	 1000	 1000	 100.0%
-66	 1000	 1000	 100.0%
-67	 1000	 1000	 100.0%
-68	 1000	 1000	 100.0%
-69	 999	 1000	 99.9%
-70	 1000	 1000	 100.0%
-71	 1000	 1000	 100.0%
-72	 1000	 1000	 100.0%
-73	 1000	 1000	 100.0%
-74	 1000	 1000	 100.0%
-75	 1000	 1000	 100.0%
-76	 996	 1000	 99.6%
-77	 982	 1000	 98.2%
-78	 965	 1000	 96.5%
-79	 839	 1000	 83.9%
-80	 572	 1000	 57.2%
