1,083653545687,NAP840---TEST1,33,1,8708
1,0810112233a1,NAP840---TEST2,59,1,1180
4,083653545687,NAP840---TEST1,37,1,4950
4,0810112233a1,NAP840---TEST2,25,1,236
4,081079d748a1,NAP840---TEST3,18,1,236
7,0810112233a1,NAP840---TEST2,18,1,944
7,083653545687,NAP840---TEST1,49,1,7552
8,083653545687,NAP840---TEST1,53,1,3068
9,083653545687,NAP840---TEST1,49,1,4012
12,083653545687,NAP840---TEST1,41,1,5888
12,0810112233a1,NAP840---TEST2,29,1,472
14,083653545687,NAP840---TEST1,33,1,18172
15,083653545687,NAP840---TEST1,45,1,3540
18,0810112233a1,NAP840---TEST2,10,1,708
18,083653545687,NAP840---TEST1,49,1,5186
